iter	RMSE
0	0.0009847713723
1	0.0009801960194
2	0.0009757136887
3	0.0009717892745
4	0.0009674199497
5	0.0009629357361
6	0.0009587688608
7	0.0009544072095
8	0.0009504521229
9	0.0009466235576
10	0.0009431839155
11	0.0009396900837
12	0.0009360500144
13	0.0009327773662
14	0.0009289975057
15	0.0009254122314
16	0.0009216167699
17	0.0009181128922
18	0.0009148041848
19	0.0009114568795
20	0.0009079204403
21	0.000905422906
22	0.0009025888676
23	0.0008993480591
24	0.0008965902297
25	0.000894064703
26	0.0008912933068
27	0.0008887551223
28	0.0008864597398
29	0.0008839253103
30	0.0008815573537
31	0.0008791074872
32	0.0008764455202
33	0.0008735569126
34	0.0008713289095
35	0.0008693838904
36	0.0008672600406
37	0.0008650339789
38	0.0008630783491
39	0.0008612992948
40	0.0008592851969
41	0.0008569570079
42	0.0008549087744
43	0.0008532940937
44	0.0008513413856
45	0.0008493461049
46	0.0008475965954
47	0.000845865825
48	0.000844621451
49	0.0008429180543
50	0.0008410531598
51	0.0008392718665
52	0.0008379135145
53	0.000836072848
54	0.0008347683087
55	0.0008333074528
56	0.0008317115455
57	0.000830510029
58	0.0008292699117
59	0.000827839853
60	0.0008263628461
61	0.0008248609278
62	0.0008236243753
63	0.0008223159822
64	0.0008209119547
65	0.0008196243492
66	0.0008182888561
67	0.000817096548
68	0.0008158490225
69	0.0008145038579
70	0.0008132813579
71	0.0008121976045
72	0.0008110401748
73	0.0008099040678
74	0.0008087774702
75	0.0008079158765
76	0.0008067327113
77	0.0008055195894
78	0.0008044589067
79	0.0008034190969
80	0.0008021422288
81	0.0008011608281
82	0.0008001092439
83	0.0007988691621
84	0.0007981384796
85	0.0007970226493
86	0.0007960139644
87	0.0007950695894
88	0.0007943082245
89	0.0007934317401
90	0.0007924662354
91	0.0007916080803
92	0.000791044865
93	0.0007901080758
94	0.0007893550516
95	0.000788383672
96	0.0007876512775
97	0.0007871305708
98	0.0007863638784
99	0.0007855864015
100	0.0007846493434
101	0.0007839588409
102	0.0007831539047
103	0.0007823006522
104	0.0007814799269
105	0.0007807364147
106	0.0007801809214
107	0.0007792532812
108	0.0007784886131
109	0.0007776490669
110	0.0007770352041
111	0.000776471647
112	0.0007759317205
113	0.0007751916207
114	0.0007745809006
115	0.0007741579216
116	0.0007737571522
117	0.0007733003711
118	0.0007727605349
119	0.0007722536396
120	0.0007717651274
121	0.0007714430651
122	0.0007709947138
123	0.0007702787822
124	0.0007696531015
125	0.0007688877279
126	0.00076812491
127	0.0007674962966
128	0.0007666758593
129	0.0007662951224
130	0.0007657551121
131	0.0007651708277
132	0.0007646614595
133	0.00076394831
134	0.0007633998688
135	0.0007626762812
136	0.0007621261275
137	0.0007617314232
138	0.000761083
139	0.0007606881749
140	0.0007601519322
141	0.000759416981
142	0.0007588226697
143	0.0007581422192
144	0.0007576066848
145	0.000757170899
146	0.0007567851394
147	0.0007562635078
148	0.0007558811959
149	0.0007553910539
150	0.0007547049634
151	0.0007542220862
152	0.0007537795895
153	0.0007533373139
154	0.0007529186576
155	0.0007526732371
156	0.0007524865974
157	0.0007521909907
158	0.0007517336162
159	0.0007512323048
160	0.0007507062098
161	0.0007503234039
162	0.0007497227491
163	0.0007493389287
164	0.0007488933181
165	0.0007483426547
